date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:19:28	5825/5825	---M-Z	200	added ('OK')	text/html	etag:%22be0c0bdc9609e1806378dd2ffc29886a-ssl-df%22	https://yuta-abe.com/robots.txt		(from )
00:19:28	21847/21847	---MCZ	200	added ('OK')	text/html	etag:%22be0c0bdc9609e1806378dd2ffc29886a-ssl-df%22	https://yuta-abe.com/	M:/Sinners%20Empire/Finale/https___yuta-abe.com_/yuta-abe.com/index.html	(from )
00:19:29	4340/4340	---M--	200	added ('OK')	image/png	etag:%22ab234ae3f0785d977174adb67f3e1b53-ssl%22	https://yuta-abe.com/assets/img/favicon.png	M:/Sinners%20Empire/Finale/https___yuta-abe.com_/yuta-abe.com/assets/img/favicon.png	(from https://yuta-abe.com/)
00:19:29	2461/2461	---M-Z	200	added ('OK')	application/javascript	etag:%2290500526d66a89c5a9f9a37317e6e8fe-ssl-df%22	https://yuta-abe.com/_nuxt/98470380edcb9b0ac476.js	M:/Sinners%20Empire/Finale/https___yuta-abe.com_/yuta-abe.com/_nuxt/98470380edcb9b0ac476.js	(from https://yuta-abe.com/)
00:19:30	205904/205904	---MCZ	200	added ('OK')	application/javascript	etag:%221e540adecaecc1d2998a9d92b3e05d9c-ssl-df%22	https://yuta-abe.com/_nuxt/0ccfa18171076a62d79e.js	M:/Sinners%20Empire/Finale/https___yuta-abe.com_/yuta-abe.com/_nuxt/0ccfa18171076a62d79e.js	(from https://yuta-abe.com/)
00:19:30	759480/759480	---MCZ	200	added ('OK')	application/javascript	etag:%22c72bd71ca7e2ba77deed211c787e45e5-ssl-df%22	https://yuta-abe.com/_nuxt/d58fb8b2cb995b1c118e.js	M:/Sinners%20Empire/Finale/https___yuta-abe.com_/yuta-abe.com/_nuxt/d58fb8b2cb995b1c118e.js	(from https://yuta-abe.com/)
00:19:31	83303/83303	---MCZ	200	added ('OK')	application/javascript	etag:%22dc88f3b98ff813287902962eea0b4d72-ssl-df%22	https://yuta-abe.com/_nuxt/11de48bb754938cc515c.js	M:/Sinners%20Empire/Finale/https___yuta-abe.com_/yuta-abe.com/_nuxt/11de48bb754938cc515c.js	(from https://yuta-abe.com/)
00:19:31	21767/21767	---MCZ	200	added ('OK')	application/javascript	etag:%22c91c24c8913d3c046e250d0ae44b75b8-ssl-df%22	https://yuta-abe.com/_nuxt/16f720302e67ccb44929.js	M:/Sinners%20Empire/Finale/https___yuta-abe.com_/yuta-abe.com/_nuxt/16f720302e67ccb44929.js	(from https://yuta-abe.com/)
00:19:32	5568/5568	---MC-	301	error ('Moved%20Permanently')	text/html	etag:%22e2866c7785e044ad316edebf9dfe7216-ssl-df%22	https://yuta-abe.com/about	M:/Sinners%20Empire/Finale/https___yuta-abe.com_/yuta-abe.com/about.6.delayed	(from https://yuta-abe.com/)
00:19:32	22641/22641	---MCZ	200	added ('OK')	text/html	etag:%22e2866c7785e044ad316edebf9dfe7216-ssl-df%22	https://yuta-abe.com/about/	M:/Sinners%20Empire/Finale/https___yuta-abe.com_/yuta-abe.com/about/index.html	(from https://yuta-abe.com/)
00:19:32	6760/6760	---MC-	301	error ('Moved%20Permanently')	text/html	etag:%22eced731d94d3f9153dd018caa48dc8b9-ssl-df%22	https://yuta-abe.com/projects/gig	M:/Sinners%20Empire/Finale/https___yuta-abe.com_/yuta-abe.com/projects/gig.7.delayed	(from https://yuta-abe.com/)
00:19:33	141960/141960	---M--	200	added ('OK')	image/jpeg	etag:%2242c69adb86f1b2824377321884940fc0-ssl%22	https://yuta-abe.com/assets/img/projects/gig/thumb.jpg	M:/Sinners%20Empire/Finale/https___yuta-abe.com_/yuta-abe.com/assets/img/projects/gig/thumb.jpg	(from https://yuta-abe.com/)
